Address,X,Y,Price,Type,Room count,Construction year,Risk of burglary,Distance to pharmacy,Distance to daycare,Distance to grocery store,Size,Squaremeter price,Energy class,Url
Hagelundsvej 31,56.008074,11.969768,3695000,Villa,6,1933,lav,"5,09",869,594,198,18661,D,https://www.dingeo.dk/adresse/3360-liseleje/hagelundsvej-31/
Ole Rasmussensvej 1B,56.014317,11.967229,10900000,Villa,5,1977,mellem,"5,73",1369,245,189,57671,D,https://www.dingeo.dk/adresse/3360-liseleje/ole%20rasmussensvej-1b/
Haldsvej 19,56.001699,11.930438,4985000,Fritidshus,5,1959,mellem,"6,61",2194,2.223,114,43728,N/A,https://www.dingeo.dk/adresse/3360-liseleje/haldsvej-19/
Lærkesangsvej 9,56.007777,11.971275,2595000,Fritidshus,2,1960,lav,"5,00",768,676,71,36549,N/A,https://www.dingeo.dk/adresse/3360-liseleje/l%C3%A6rkesangsvej-9/
Tørvelodsvej 17,56.002476,11.988266,1950000,Fritidshus,2,1960,lav,"3,88",509,704,67,29104,N/A,https://www.dingeo.dk/adresse/3360-liseleje/t%C3%B8rvelodsvej-17/
Obovej 13A,56.00413,11.985886,1495000,Villa,4,1974,lav,"4,12",271,599,104,14375,F,https://www.dingeo.dk/adresse/3360-liseleje/obovej-13a/
Lisegårdsvej 10B,56.008339,11.967563,2795000,Fritidshus,3,0,lav,"5,20",1012,505,77,36298,N/A,https://www.dingeo.dk/adresse/3360-liseleje/liseg%C3%A5rdsvej-10b/
Kystvej 8,56.013747,11.962219,18950000,Fritidshus,6,2009,mellem,"5,88",1580,208,207,91545,A2010,https://www.dingeo.dk/adresse/3360-liseleje/kystvej-8/
Klostervænget 14,56.009368,11.982876,2345000,Villa,4,1976,lav,"4,71",392,534,104,22548,F,https://www.dingeo.dk/adresse/3360-liseleje/klosterv%C3%A6nget-14/
Liselejevej 39,56.009565,11.980113,4795000,Fritidshus,8,1943,lav,"4,82",448,711,143,33531,D,https://www.dingeo.dk/adresse/3360-liseleje/liselejevej-39/
Gerdasvej 8,56.004871,11.979257,2745000,Villa,4,1972,lav,"4,43",252,863,146,18801,B,https://www.dingeo.dk/adresse/3360-liseleje/gerdasvej-8/
Aakjærsvej 2,56.010886,11.953674,6295000,Fritidshus,4,1994,mellem,"6,02",1941,734,88,71534,N/A,https://www.dingeo.dk/adresse/3360-liseleje/aakj%C3%A6rsvej-2/
Engholmsvej 30,56.00759,11.97871,4195000,Fritidshus,4,2020,lav,"4,69",327,800,102,41127,N/A,https://www.dingeo.dk/adresse/3360-liseleje/engholmsvej-30/
Strandvængevej 32,56.010576,11.95821,5995000,Fritidshus,5,1958,mellem,"5,79",1655,476,187,32058,N/A,https://www.dingeo.dk/adresse/3360-liseleje/strandv%C3%A6ngevej-32/
Lisegårdsvej 10A,56.00832,11.967394,2995000,Fritidshus,3,0,lav,"5,21",1022,503,76,39407,N/A,https://www.dingeo.dk/adresse/3360-liseleje/liseg%C3%A5rdsvej-10a/
Classensvej 6,56.013796,11.966693,6495000,Villa,4,,mellem,"5,70",1356,179,176,36903,N/A,https://www.dingeo.dk/adresse/3360-liseleje/classensvej-6/
Jens Jensensvej 16,56.005726,11.949614,3595000,Fritidshus,4,1966,mellem,"5,84",1916,1.232,83,43313,N/A,https://www.dingeo.dk/adresse/3360-liseleje/jens%20jensensvej-16/
Jens Hansensvej 14,56.00843,11.978152,2345000,Fritidshus,2,1958,lav,"4,79",415,828,55,42636,N/A,https://www.dingeo.dk/adresse/3360-liseleje/jens%20hansensvej-14/
Østerledsvej 13,56.009685,11.975011,4985000,Fritidshus,4,2020,lav,"5,02",656,726,105,47476,N/A,https://www.dingeo.dk/adresse/3360-liseleje/%C3%B8sterledsvej-13/
Kløverstien 13,56.00281,11.981014,2995000,Fritidshus,4,2001,lav,"4,18",356,911,69,43405,N/A,https://www.dingeo.dk/adresse/3360-liseleje/kl%C3%B8verstien-13/
Haldsvej 4C,56.003211,11.93239,12200000,Fritidshus,4,1977,mellem,"6,59",2312,2.313,140,87142,N/A,https://www.dingeo.dk/adresse/3360-liseleje/haldsvej-4c/
Lisegårdsvej 12A,56.008915,11.967768,4995000,Fritidshus,5,,lav,"5,24",1019,451,137,36459,N/A,https://www.dingeo.dk/adresse/3360-liseleje/liseg%C3%A5rdsvej-12a/
Vedamsvej 1,56.001595,11.987896,2795000,Fritidshus,3,2004,lav,"3,81",571,805,98,28520,N/A,https://www.dingeo.dk/adresse/3360-liseleje/vedamsvej-1/
Hellebakkevej 3,56.007096,11.943174,8995000,Fritidshus,4,2013,mellem,"6,25",2314,1.507,111,81036,N/A,https://www.dingeo.dk/adresse/3360-liseleje/hellebakkevej-3/
Engholmsvej 1,56.004654,11.976296,2995000,Fritidshus,3,1974,lav,"4,53",437,1.043,76,39407,N/A,https://www.dingeo.dk/adresse/3360-liseleje/engholmsvej-1/
Liselejevej 81,56.012163,11.971897,5900000,Villa,6,1890,lav,"5,36",989,455,256,23046,D,https://www.dingeo.dk/adresse/3360-liseleje/liselejevej-81/
Lærkesangsvej 18,56.007721,11.972075,3975000,Fritidshus,4,2008,lav,"4,96",717,713,138,28804,N/A,https://www.dingeo.dk/adresse/3360-liseleje/l%C3%A6rkesangsvej-18/
