Address,X,Y,Price,Type,Room count,Construction year,Risk of burglary,Distance to pharmacy,Distance to daycare,Distance to grocery store,Size,Squaremeter price,Energy class,Url
Ledøjetoften 29,55.712919,12.308985,3695000,Villa,5,1976,meget høj,"2,21",703,2.199,136,27169,C,https://www.dingeo.dk/adresse/2765-sm%C3%B8rum/led%C3%B8jetoften-29/
Astershaven 49,55.736734,12.309726,3695000,Rækkehus,4,1971,mellem,532,128,510,106,34858,B,https://www.dingeo.dk/adresse/2765-sm%C3%B8rum/astershaven-49/
"Kong Haralds Park 3H, 1. th",55.745512,12.286603,2995000,Ejerlejlighed,3,,lav,"1,85",292,1.548,93,32204,C,https://www.dingeo.dk/adresse/2765-sm%C3%B8rum/kong%20haralds%20park-3h/1-th/
Solbærvangen 24,55.747085,12.306272,4495000,Villa,5,1973,høj,809,306,823,166,27078,D,https://www.dingeo.dk/adresse/2765-sm%C3%B8rum/solb%C3%A6rvangen-24/
Åkandehaven 72,55.738217,12.305444,5250000,Villa,5,1971,mellem,610,217,604,155,33870,C,https://www.dingeo.dk/adresse/2765-sm%C3%B8rum/%C3%A5kandehaven-72/
Rendebæksvej 14,55.739578,12.293553,5995000,Villa,7,1986,lav,"1,06",108,958,179,33491,C,https://www.dingeo.dk/adresse/2765-sm%C3%B8rum/rendeb%C3%A6ksvej-14/
Tørveslettevej 5,55.733529,12.319546,10500000,Landejendom,9,,mellem,922,834,866,433,24249,N/A,https://www.dingeo.dk/adresse/2765-sm%C3%B8rum/t%C3%B8rveslettevej-5/
Hørbakken 5,55.749129,12.3049,3649000,Villa,4,1976,mellem,879,342,870,137,26635,D,https://www.dingeo.dk/adresse/2765-sm%C3%B8rum/h%C3%B8rbakken-5/
Lyngkær 23,55.734824,12.296114,4995000,Villa,5,1968,mellem,621,422,618,129,38720,D,https://www.dingeo.dk/adresse/2765-sm%C3%B8rum/lyngk%C3%A6r-23/
"Blommevangen 13, 1. tv",55.742273,12.31455,2695000,Ejerlejlighed,4,,mellem,758,445,765,112,24062,C,https://www.dingeo.dk/adresse/2765-sm%C3%B8rum/blommevangen-13/1-tv/
Gammeldamsgård 7,55.740297,12.290485,5150000,Villa,5,2004,lav,"1,26",284,982,138,37318,C,https://www.dingeo.dk/adresse/2765-sm%C3%B8rum/gammeldamsg%C3%A5rd-7/
Mosevej 4B,55.744707,12.310837,11900000,Villa,7,2006,høj,666,91,716,298,39932,A2010,https://www.dingeo.dk/adresse/2765-sm%C3%B8rum/mosevej-4b/
Rørkær 42,55.734205,12.295122,4250000,Villa,4,1969,mellem,659,361,546,117,36324,D,https://www.dingeo.dk/adresse/2765-sm%C3%B8rum/r%C3%B8rk%C3%A6r-42/
Kildekær 2,55.73792,12.294362,4995000,Villa,8,1966,mellem,897,61,816,201,24850,C,https://www.dingeo.dk/adresse/2765-sm%C3%B8rum/kildek%C3%A6r-2/
Valmuehaven 19,55.736337,12.304131,4745000,Villa,4,1974,mellem,407,234,400,150,31633,C,https://www.dingeo.dk/adresse/2765-sm%C3%B8rum/valmuehaven-19/
Holmevej 14,55.711434,12.304485,6245000,Villa,6,1966,lav,"2,36",372,2.358,210,29738,C,https://www.dingeo.dk/adresse/2765-sm%C3%B8rum/holmevej-14/
"Pærevangen 12, 1. tv",55.742833,12.31328,2195000,Ejerlejlighed,2,,høj,734,344,756,80,27437,C,https://www.dingeo.dk/adresse/2765-sm%C3%B8rum/p%C3%A6revangen-12/1-tv/
"Pærevangen 8, 1. th",55.742428,12.312867,2495000,Ejerlejlighed,4,1981,høj,786,361,808,95,26263,C,https://www.dingeo.dk/adresse/2765-sm%C3%B8rum/p%C3%A6revangen-8/1-th/
Georginehaven 33,55.734639,12.309154,2995000,Rækkehus,4,1973,mellem,332,253,296,106,28254,B,https://www.dingeo.dk/adresse/2765-sm%C3%B8rum/georginehaven-33/
