Address,X,Y,Price,Type,Room count,Construction year,Risk of burglary,Distance to pharmacy,Distance to daycare,Distance to grocery store,Size,Squaremeter price,Energy class,Url
"Teglgårdsvej 917, 1. th",55.954388,12.521295,1295000,Ejerlejlighed,2,1971,meget lav,"1,20",250,858,65,19923,D,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/teglg%C3%A5rdsvej-917/1-th/
Gl Strandvej 141,55.953376,12.534099,14750000,Villa,5,2018,mellem,"1,21",319,613,202,73019,A2010,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/gl%20strandvej-141/
Ejlersvej 12,55.953951,12.529849,8995000,Villa,7,1958,mellem,"1,12",133,562,189,47592,C,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/ejlersvej-12/
Strandhøjsvej 14,55.949936,12.528802,11995000,Villa,5,1975,mellem,"1,56",583,1.010,223,53789,C,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/strandh%C3%B8jsvej-14/
Hejreskov Alle 4,55.964609,12.534983,8495000,Villa,8,1955,lav,328,283,250,187,45427,C,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/hejreskov%20alle-4/
Gl Strandvej 137A,55.953852,12.534567,5495000,Rækkehus,3,1890,mellem,"1,17",316,567,113,48628,C,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/gl%20strandvej-137a/
Teglgårdsvej 381B,55.959722,12.525586,1795000,Ejerlejlighed,4,1956,lav,551,457,443,83,21626,D,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/teglg%C3%A5rdsvej-381b/
"Teglgårdsvej 301, 1. tv",55.96035,12.526817,1395000,Ejerlejlighed,3,1964,lav,452,464,392,82,17012,D,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/teglg%C3%A5rdsvej-301/1-tv/
Violvej 17,55.956667,12.52753,4450000,Villa,4,1977,mellem,829,228,388,121,36776,D,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/violvej-17/
Toeltvej 23,55.979849,12.49304,5995000,Villa,5,1964,høj,"2,94",1119,2.924,143,41923,D,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/toeltvej-23/
Teglgårdsvej 377B,55.959512,12.526057,1600000,Ejerlejlighed,4,1956,lav,557,452,409,83,19277,D,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/teglg%C3%A5rdsvej-377b/
Skovvej 7,55.951809,12.528982,10995000,Villa,6,2018,mellem,"1,36",377,805,189,58174,A2015,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/skovvej-7/
"Teglgårdsvej 339, 1. tv",55.959331,12.528567,1195000,Ejerlejlighed,2,1961,lav,527,307,248,69,17318,D,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/teglg%C3%A5rdsvej-339/1-tv/
Hejreskov Alle 5,55.965017,12.534556,5995000,Villa,5,1923,lav,314,275,249,177,33870,C,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/hejreskov%20alle-5/
"Teglgårdsvej 923, 3. tv",55.954784,12.521649,1595000,Ejerlejlighed,2,,meget lav,"1,15",211,815,63,25317,N/A,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/teglg%C3%A5rdsvej-923/3-tv/
Nyvej 10,55.960575,12.534923,7245000,Fritidshus,5,1926,lav,495,370,256,130,55730,N/A,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/nyvej-10/
Skovvej 12,55.951658,12.526978,8195000,Villa,5,1998,mellem,"1,38",435,864,146,56130,D,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/skovvej-12/
Daugløkke Ege 21,55.954333,12.519147,4650000,Rækkehus,3,2017,meget lav,"1,28",277,977,125,37200,A2010,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/daugl%C3%B8kke%20ege-21/
Humlebæk Strandvej 5,55.978358,12.544893,3950000,Villa,2,,mellem,"1,86",1263,1.800,63,62698,N/A,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/humleb%C3%A6k%20strandvej-5/
Kullabergvej 10,55.978141,12.545311,6250000,Villa,4,1966,mellem,"1,85",1288,1.793,118,52966,D,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/kullabergvej-10/
Toeltvej 22,55.979026,12.49281,7795000,Villa,7,2011,høj,"2,89",1202,2.884,209,37296,A2010,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/toeltvej-22/
"Teglgårdsvej 385, st. th",55.96005,12.52615,1595000,Ejerlejlighed,2,1964,lav,501,479,419,69,23115,D,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/teglg%C3%A5rdsvej-385/st-th/
Dageløkkevej 55,55.955878,12.500768,23500000,Villa,9,2020,meget lav,"2,07",1129,2.038,238,98739,G,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/dagel%C3%B8kkevej-55/
Gl Strandvej 7,55.971534,12.543573,11645000,Villa,7,1825,meget høj,"1,21",1180,1.153,286,40716,C,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/gl%20strandvej-7/
Teglgårdsvej 359A,55.958963,12.527505,1695000,Ejerlejlighed,3,1956,lav,581,343,309,74,22905,D,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/teglg%C3%A5rdsvej-359a/
Torphusene 1,55.966366,12.524154,4395000,Rækkehus,5,2013,lav,453,309,445,136,32316,B,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/torphusene-1/
Gl Strandvej 170,55.954064,12.534389,8745000,Villa,5,1911,mellem,"1,14",296,542,143,61153,E,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/gl%20strandvej-170/
"Teglgårdsvej 403, 2. tv",55.959565,12.523518,1200000,Ejerlejlighed,2,1968,lav,641,368,569,66,18181,D,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/teglg%C3%A5rdsvej-403/2-tv/
Ved Hegnet 3,55.968807,12.523871,7495000,Villa,5,1973,mellem,659,536,632,176,42585,D,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/ved%20hegnet-3/
"Teglgårdsvej 305, 1. mf",55.960496,12.526117,895000,Ejerlejlighed,1,1965,lav,460,463,440,46,19456,D,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/teglg%C3%A5rdsvej-305/1-mf/
Nordre Strandvej 10,55.941286,12.522149,7995000,Villa,6,1876,mellem,"1,35",1130,1.321,201,39776,D,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/nordre%20strandvej-10/
Louisevej 1,55.968838,12.541384,7195000,Villa,5,1991,høj,904,874,855,164,43871,C,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/louisevej-1/
Bogårdsvej 117B,55.964679,12.513885,8995000,Rækkehus,5,1827,lav,"1,03",572,1.046,231,38939,C,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/bog%C3%A5rdsvej-117b/
"Teglgårdsvej 647, 2. th",55.957105,12.522672,1500000,Ejerlejlighed,3,1969,meget lav,895,128,645,77,19480,D,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/teglg%C3%A5rdsvej-647/2-th/
Langebjergvej 130,55.966267,12.505132,4495000,Villa,8,1976,mellem,"1,60",142,1.616,160,28093,D,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/langebjergvej-130/
Hans Rostgårdsvej 3,55.965488,12.538561,5495000,Villa,3,1954,lav,573,530,497,78,70448,E,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/hans%20rostg%C3%A5rdsvej-3/
Krogerupvej 17,55.975273,12.533996,5995000,Villa,6,1902,høj,"1,28",1254,1.222,151,39701,D,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/krogerupvej-17/
"Teglgårdsvej 833, 1. th",55.954826,12.5226,1525000,Ejerlejlighed,2,1970,meget lav,"1,12",229,762,65,23461,D,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/teglg%C3%A5rdsvej-833/1-th/
Gl Strandvej 146A,55.95502,12.535339,9995000,Rækkehus,5,1929,mellem,"1,06",305,461,181,55220,C,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/gl%20strandvej-146a/
Langebjergvej 261E,55.96462,12.508158,5995000,Villa,5,1980,mellem,"1,39",387,1.411,158,37943,D,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/langebjergvej-261e/
Gl Strandvej 143,55.953213,12.533995,6498000,Villa,4,1907,mellem,"1,23",326,629,85,76447,D,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/gl%20strandvej-143/
"Teglgårdsvej 387, 2. th",55.960232,12.526166,1625000,Ejerlejlighed,3,1964,lav,483,490,425,69,23550,D,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/teglg%C3%A5rdsvej-387/2-th/
"Teglgårdsvej 913, st. tv",55.954951,12.520602,2195000,Ejerlejlighed,3,1971,meget lav,"1,17",187,862,108,20324,D,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/teglg%C3%A5rdsvej-913/st-tv/
Nyvej 7,55.960802,12.535184,9495000,Villa,5,1923,lav,488,400,286,173,54884,D,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/nyvej-7/
Bregnevænget 24,55.954584,12.527692,3845000,Rækkehus,3,1977,mellem,"1,06",167,554,105,36619,B,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/bregnev%C3%A6nget-24/
"Teglgårdsvej 539, 1. tv",55.957728,12.524417,1225000,Ejerlejlighed,2,,meget lav,781,258,519,64,19140,D,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/teglg%C3%A5rdsvej-539/1-tv/
Boserupvej 428,55.962128,12.515222,4795000,Villa,4,1964,lav,961,278,996,122,39303,C,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/boserupvej-428/
Gl Strandvej 99,55.955709,12.535792,5995000,Villa,3,,mellem,993,304,407,82,73109,N/A,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/gl%20strandvej-99/
Humlebæk Strandvej 57,55.964871,12.537199,5795000,Villa,4,1974,lav,472,427,391,183,31666,C,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/humleb%C3%A6k%20strandvej-57/
Humlebæk Strandvej 149,55.951729,12.526292,3795000,Villa,5,1936,mellem,"1,38",451,875,80,47437,D,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/humleb%C3%A6k%20strandvej-149/
Gl Strandvej 208,55.952676,12.533209,11195000,Villa,6,1907,mellem,"1,28",336,682,155,72225,E,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/gl%20strandvej-208/
Linde Alle 6,55.959251,12.535355,18900000,Villa,8,1902,lav,630,267,198,263,71863,C,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/linde%20alle-6/
"Teglgårdsvej 433, 3. tv",55.958716,12.524862,1675000,Ejerlejlighed,3,,lav,671,345,477,85,19705,D,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/teglg%C3%A5rdsvej-433/3-tv/
"Humlebæk Center 28, 1. 3",55.964231,12.531641,881344,Andelsbolig,2,,lav,111,70,63,68,12960,C,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/humleb%C3%A6k%20center-28/1-3/
"Teglgårdsvej 301, 2. mf",55.96035,12.526817,1045000,Ejerlejlighed,1,1964,lav,452,464,392,46,22717,D,https://www.dingeo.dk/adresse/3050-humleb%C3%A6k/teglg%C3%A5rdsvej-301/2-mf/
