Address,X,Y,Price,Type,Room count,Construction year,Risk of burglary,Distance to pharmacy,Distance to daycare,Distance to grocery store,Size,Squaremeter price,Energy class,Url
"Strandvejen 423, 2. th",55.776172,12.590868,6750000,Ejerlejlighed,3,1933,mellem,"1,94",1132,1.723,102,66176,N/A,https://www.dingeo.dk/adresse/2930-klampenborg/strandvejen-423/2-th/
Klampenborgvej 12C,55.772659,12.580038,22500000,Villa,7,1955,høj,"1,29",1003,1.108,249,90361,B,https://www.dingeo.dk/adresse/2930-klampenborg/klampenborgvej-12c/
"Damgårdsvej 45, 1. ",55.766633,12.587146,8450000,Villalejlighed,5,1935,høj,"1,00",578,769,133,63533,D,https://www.dingeo.dk/adresse/2930-klampenborg/damg%C3%A5rdsvej-45/1-/
Slotsalleen 11A,55.773056,12.591482,49800000,Villa,7,1901,høj,"1,69",1005,1.461,406,122660,C,https://www.dingeo.dk/adresse/2930-klampenborg/slotsalleen-11a/
"Taarbæk Strandvej 65A, st. tv",55.785592,12.592925,9450000,Ejerlejlighed,4,,lav,"2,93",110,2.722,120,78750,C,https://www.dingeo.dk/adresse/2930-klampenborg/taarb%C3%A6k%20strandvej-65a/st-tv/
Emiliekildevej 35A,55.768096,12.591971,22995000,Villa,8,1922,høj,"1,35",474,1.115,409,56222,E,https://www.dingeo.dk/adresse/2930-klampenborg/emiliekildevej-35a/
Vermehrensvej 8,55.76718,12.592321,24900000,Villa,7,1931,høj,"1,32",373,1.085,224,111160,C,https://www.dingeo.dk/adresse/2930-klampenborg/vermehrensvej-8/
Sølystparken 6,55.770725,12.591095,42800000,Villa,10,1950,høj,"1,49",764,1.252,439,97494,D,https://www.dingeo.dk/adresse/2930-klampenborg/s%C3%B8lystparken-6/
Klampenborgvej 35C,55.769802,12.575477,78000000,Villa,12,1926,høj,922,577,782,456,171052,C,https://www.dingeo.dk/adresse/2930-klampenborg/klampenborgvej-35c/
"Klampenborgvej 40, st. ",55.770573,12.572443,8995000,Villalejlighed,5,,høj,"1,01",498,910,154,58409,C,https://www.dingeo.dk/adresse/2930-klampenborg/klampenborgvej-40/st-/
Sommervej 3,55.784174,12.593379,9800000,Villa,4,1897,mellem,"2,80",230,2.588,79,124050,C,https://www.dingeo.dk/adresse/2930-klampenborg/sommervej-3/
Hvidørevej 16,55.768588,12.591071,12995000,Villa,5,1958,høj,"1,33",548,1.098,157,82770,C,https://www.dingeo.dk/adresse/2930-klampenborg/hvid%C3%B8revej-16/
Strandvejen 606,55.789486,12.591761,16500000,Villa,8,1909,lav,"3,30",49,3.104,197,83756,D,https://www.dingeo.dk/adresse/2930-klampenborg/strandvejen-606/
"Bellevuevej 7, st. tv",55.776691,12.589771,9995000,Ejerlejlighed,4,,mellem,"1,96",1092,1.739,120,83291,N/A,https://www.dingeo.dk/adresse/2930-klampenborg/bellevuevej-7/st-tv/
Christiansholms Tværvej 10,55.774364,12.585514,48000000,Villa,9,1929,høj,"1,60",1281,1.390,314,152866,D,https://www.dingeo.dk/adresse/2930-klampenborg/christiansholms%20tv%C3%A6rvej-10/
Schimmelmannsvej 19,55.768835,12.583625,16500000,Villa,4,1932,høj,"1,01",798,787,134,123134,C,https://www.dingeo.dk/adresse/2930-klampenborg/schimmelmannsvej-19/
Strandvejen 353A,55.765481,12.596117,10500000,Villalejlighed,4,1934,høj,"1,47",147,1.248,148,70945,E,https://www.dingeo.dk/adresse/2930-klampenborg/strandvejen-353a/
Krøyersvej 29,55.765769,12.589944,19995000,Villa,6,1934,høj,"1,11",376,883,209,95669,C,https://www.dingeo.dk/adresse/2930-klampenborg/kr%C3%B8yersvej-29/
Taarbæk Strandvej 44B,55.782974,12.592934,19900000,Villa,5,1876,mellem,"2,66",366,2.455,171,116374,A2010,https://www.dingeo.dk/adresse/2930-klampenborg/taarb%C3%A6k%20strandvej-44b/
Strandvejen 300A,55.766472,12.596055,27500000,Villa,7,1877,høj,"1,50",251,1.275,227,121145,D,https://www.dingeo.dk/adresse/2930-klampenborg/strandvejen-300a/
Christiansholms Tværvej 14,55.773883,12.58572,25500000,Villa,8,,høj,"1,56",1228,1.346,270,94444,N/A,https://www.dingeo.dk/adresse/2930-klampenborg/christiansholms%20tv%C3%A6rvej-14/
"Strandvejen 417A, 1. tv",55.77536,12.59004,7850000,Ejerlejlighed,5,,høj,"1,84",1231,1.619,126,62301,D,https://www.dingeo.dk/adresse/2930-klampenborg/strandvejen-417a/1-tv/
Hvidørevej 61,55.768378,12.581389,10995000,Villa,4,1956,høj,889,761,676,118,93177,D,https://www.dingeo.dk/adresse/2930-klampenborg/hvid%C3%B8revej-61/
"Strandvejen 417C, 1. tv",55.775569,12.59004,7795000,Ejerlejlighed,5,1959,høj,"1,86",1209,1.639,126,61865,D,https://www.dingeo.dk/adresse/2930-klampenborg/strandvejen-417c/1-tv/
"Skærsommervej 4, st. ",55.783324,12.593214,19995000,Villalejlighed,5,1868,mellem,"2,71",324,2.497,112,178526,D,https://www.dingeo.dk/adresse/2930-klampenborg/sk%C3%A6rsommervej-4/st-/
Strandvejen 623,55.790743,12.591844,11495000,Villa,7,1910,lav,"3,43",106,3.239,147,78197,E,https://www.dingeo.dk/adresse/2930-klampenborg/strandvejen-623/
"Strandvejen 433, 1. th",55.776585,12.58981,3995000,Ejerlejlighed,2,1933,mellem,"1,95",1103,1.730,66,60530,N/A,https://www.dingeo.dk/adresse/2930-klampenborg/strandvejen-433/1-th/
Christiansholms Tværvej 8,55.774531,12.585126,36500000,Villa,7,1933,høj,"1,60",1309,1.398,225,162222,C,https://www.dingeo.dk/adresse/2930-klampenborg/christiansholms%20tv%C3%A6rvej-8/
Drachmannsvej 9,55.76424,12.593761,17995000,Villa,7,1954,høj,"1,29",94,1.074,204,88210,C,https://www.dingeo.dk/adresse/2930-klampenborg/drachmannsvej-9/
"Strandvejen 429, st. th",55.776248,12.589887,6995000,Ejerlejlighed,3,,mellem,"1,92",1138,1.699,100,69950,N/A,https://www.dingeo.dk/adresse/2930-klampenborg/strandvejen-429/st-th/
"Skovvej 8A, 2. ",55.787517,12.593284,5995000,Ejerlejlighed,4,,lav,"3,13",163,2.929,122,49139,D,https://www.dingeo.dk/adresse/2930-klampenborg/skovvej-8a/2-/
Emiliekildevej 13B,55.769703,12.592878,12750000,Villa,5,1952,høj,"1,50",622,1.264,134,95149,E,https://www.dingeo.dk/adresse/2930-klampenborg/emiliekildevej-13b/
"Strandvejen 417E, 4. tv",55.775771,12.590044,6700000,Ejerlejlighed,2,,høj,"1,88",1187,1.658,66,101515,D,https://www.dingeo.dk/adresse/2930-klampenborg/strandvejen-417e/4-tv/
Hvidørevej 30,55.768538,12.587381,21500000,Villa,7,1934,høj,"1,15",689,913,204,105392,D,https://www.dingeo.dk/adresse/2930-klampenborg/hvid%C3%B8revej-30/
"Strandvejen 421, 1. th",55.776077,12.589978,7495000,Ejerlejlighed,4,1933,høj,"1,90",1155,1.686,113,66327,N/A,https://www.dingeo.dk/adresse/2930-klampenborg/strandvejen-421/1-th/
Strandvejen 341B,55.763951,12.596575,6650000,Ejerlejlighed,4,0 MBit,høj,"1,45",51,1.248,118,56355,N/A,https://www.dingeo.dk/adresse/2930-klampenborg/strandvejen-341b/
Klampenborgvej 50,55.770497,12.568812,58000000,Villa,20,1898,meget høj,"1,05",298,1.002,937,61899,E,https://www.dingeo.dk/adresse/2930-klampenborg/klampenborgvej-50/
Zicavej 12,55.769824,12.593797,21000000,Villa,8,1964,høj,"1,55",624,1.319,175,120000,D,https://www.dingeo.dk/adresse/2930-klampenborg/zicavej-12/
Hurdlevej 10,55.771103,12.576824,10995000,Villa,5,1986,høj,"1,08",745,920,170,64676,C,https://www.dingeo.dk/adresse/2930-klampenborg/hurdlevej-10/
Strandvejen 314,55.767955,12.595489,25000000,Villa,7,1885,høj,"1,54",410,1.304,215,116279,C,https://www.dingeo.dk/adresse/2930-klampenborg/strandvejen-314/
Strandvejen 312A,55.767708,12.595481,11500000,Villalejlighed,3,1900,høj,"1,52",383,1.292,104,110576,D,https://www.dingeo.dk/adresse/2930-klampenborg/strandvejen-312a/
Zicavej 3,55.770365,12.592852,15995000,Villa,6,1931,høj,"1,54",694,1.308,162,98734,F,https://www.dingeo.dk/adresse/2930-klampenborg/zicavej-3/
Dyrehavevej 38,55.775253,12.583869,78000000,Villa,12,1926,høj,"1,64",1380,1.446,503,155069,C,https://www.dingeo.dk/adresse/2930-klampenborg/dyrehavevej-38/
Schimmelmannsvej 6,55.770268,12.585403,23800000,Villa,6,2020,høj,"1,21",915,982,243,97942,B,https://www.dingeo.dk/adresse/2930-klampenborg/schimmelmannsvej-6/
Slotsalleen 15,55.772767,12.591807,42500000,Villa,7,2001,høj,"1,68",969,1.449,349,121776,C,https://www.dingeo.dk/adresse/2930-klampenborg/slotsalleen-15/
Klampenborgvej 10A,55.773022,12.581124,14995000,Villa,5,1946,høj,"1,35",1077,1.162,165,90878,D,https://www.dingeo.dk/adresse/2930-klampenborg/klampenborgvej-10a/
Vitus Berings Alle 14,55.775248,12.586784,19995000,Rækkehus,8,1903,høj,"1,72",1305,1.512,251,79661,C,https://www.dingeo.dk/adresse/2930-klampenborg/vitus%20berings%20alle-14/
Fabritius Alle 16,55.770227,12.58684,17995000,Villa,7,,høj,"1,26",851,1.031,193,93238,N/A,https://www.dingeo.dk/adresse/2930-klampenborg/fabritius%20alle-16/
"Strandvejen 427, 2. th",55.776135,12.590264,6795000,Ejerlejlighed,3,,mellem,"1,92",1144,1.700,103,65970,N/A,https://www.dingeo.dk/adresse/2930-klampenborg/strandvejen-427/2-th/
