Address,X,Y,Price,Type,Room count,Construction year,Risk of burglary,Distance to pharmacy,Distance to daycare,Distance to grocery store,Size,Squaremeter price,Energy class,Url
Frederikssundsvej 105,55.925208,12.052777,2295000,Villa,6,,meget lav,"5,69",589,1.205,138,16630,N/A,https://www.dingeo.dk/adresse/3310-%C3%B8lsted/frederikssundsvej-105/
Maxivej 3,55.906474,12.059192,1345000,Fritidshus,3,1970,lav,"7,38",1825,2.100,79,17025,N/A,https://www.dingeo.dk/adresse/3310-%C3%B8lsted/maxivej-3/
Store Havelsevej 78,55.907702,12.068648,5295000,Landejendom,5,1942,lav,"7,87",1514,1.803,223,23744,D,https://www.dingeo.dk/adresse/3310-%C3%B8lsted/store%20havelsevej-78/
Fasanstien 7,55.915488,12.054744,1775000,Fritidshus,5,1999,lav,"6,75",1120,1.455,66,26893,N/A,https://www.dingeo.dk/adresse/3310-%C3%B8lsted/fasanstien-7/
Dortheasvej 1,55.896234,12.061793,1995000,Fritidshus,4,1996,lav,"6,64",2846,3.134,100,19950,N/A,https://www.dingeo.dk/adresse/3310-%C3%B8lsted/dortheasvej-1/
Lærkestien 13,55.913959,12.051223,2245000,Fritidshus,3,1952,lav,"6,84",1374,1.736,89,25224,N/A,https://www.dingeo.dk/adresse/3310-%C3%B8lsted/l%C3%A6rkestien-13/
Snerosevej 11,55.921948,12.063977,2795000,Villa,7,1974,mellem,"6,30",330,575,248,11270,B,https://www.dingeo.dk/adresse/3310-%C3%B8lsted/snerosevej-11/
Dalsvinget 9,55.89637,12.053775,1795000,Fritidshus,6,1968,lav,"6,31",2990,3.268,159,11289,N/A,https://www.dingeo.dk/adresse/3310-%C3%B8lsted/dalsvinget-9/
Bakkestien 14,55.914645,12.051695,1495000,Fritidshus,2,1952,lav,"6,78",1293,1.666,56,26696,N/A,https://www.dingeo.dk/adresse/3310-%C3%B8lsted/bakkestien-14/
Stokrosevej 4,55.920761,12.070549,2445000,Rækkehus,4,2002,mellem,"6,61",100,358,112,21830,B,https://www.dingeo.dk/adresse/3310-%C3%B8lsted/stokrosevej-4/
Dalsvinget 10A,55.896079,12.052812,1895000,Fritidshus,5,1969,lav,"6,25",3043,3.321,83,22831,N/A,https://www.dingeo.dk/adresse/3310-%C3%B8lsted/dalsvinget-10a/
Minivej 5,55.908883,12.054709,1295000,Fritidshus,4,1973,lav,"7,42",1753,2.003,74,17500,N/A,https://www.dingeo.dk/adresse/3310-%C3%B8lsted/minivej-5/
Rylevej 14,55.902852,12.048366,2795000,Fritidshus,4,1962,meget lav,"6,64",2530,2.784,119,23487,N/A,https://www.dingeo.dk/adresse/3310-%C3%B8lsted/rylevej-14/
Blåhatvej 25,55.927945,12.042655,4595000,Fritidshus,3,2014,lav,"5,20",1283,1.882,80,57437,N/A,https://www.dingeo.dk/adresse/3310-%C3%B8lsted/bl%C3%A5hatvej-25/
