Address,X,Y,Price,Type,Room count,Construction year,Risk of burglary,Distance to pharmacy,Distance to daycare,Distance to grocery store,Size,Squaremeter price,Energy class,Url
Mosekæret 15,55.759791,12.179373,6795000,Villa,5,2022,lav,"1,36",515,1.169,170,39970,A2020,https://www.dingeo.dk/adresse/3660-stenl%C3%B8se/mosek%C3%A6ret-15/
Mosekæret 21,55.760278,12.179226,7895000,Villa,7,2022,lav,"1,33",461,1.135,207,38140,A2020,https://www.dingeo.dk/adresse/3660-stenl%C3%B8se/mosek%C3%A6ret-21/
Sandalsparken 51,55.766255,12.195973,1795000,Ejerlejlighed,2,1975,mellem,226,163,196,59,30423,D,https://www.dingeo.dk/adresse/3660-stenl%C3%B8se/sandalsparken-51/
Egernleddet 52,55.762673,12.174044,3795000,Rækkehus,4,2007,mellem,"1,46",272,1.238,125,30360,B,https://www.dingeo.dk/adresse/3660-stenl%C3%B8se/egernleddet-52/
Stråmoseparken 28,55.767328,12.176918,3395000,Rækkehus,4,2002,mellem,"1,15",306,919,138,24601,B,https://www.dingeo.dk/adresse/3660-stenl%C3%B8se/str%C3%A5moseparken-28/
Byvej 27,55.76864,12.201386,2695000,Villa,4,1938,mellem,415,323,387,100,26950,G,https://www.dingeo.dk/adresse/3660-stenl%C3%B8se/byvej-27/
Lupinvej 9,55.796064,12.224564,6495000,Villa,8,1987,høj,"3,62",583,2.973,227,28612,B,https://www.dingeo.dk/adresse/3660-stenl%C3%B8se/lupinvej-9/
Vestagervej 50,55.794404,12.259467,4599000,Villa,5,1977,mellem,"4,99",291,3.997,187,24593,C,https://www.dingeo.dk/adresse/3660-stenl%C3%B8se/vestagervej-50/
Mørkhøjvej 6,55.802264,12.287489,5875000,Villa,6,1956,mellem,"4,02",1848,2.724,174,33764,C,https://www.dingeo.dk/adresse/3660-stenl%C3%B8se/m%C3%B8rkh%C3%B8jvej-6/
Agnetevej 3,55.767938,12.184474,2998000,Villa,4,1970,mellem,666,227,436,121,24776,C,https://www.dingeo.dk/adresse/3660-stenl%C3%B8se/agnetevej-3/
Bybakken 3,55.795139,12.267866,3295000,Villa,7,1972,mellem,"4,81",526,3.496,186,17715,C,https://www.dingeo.dk/adresse/3660-stenl%C3%B8se/bybakken-3/
Stråmoseparken 30,55.767304,12.176448,3695000,Rækkehus,3,2002,mellem,"1,18",335,949,117,31581,B,https://www.dingeo.dk/adresse/3660-stenl%C3%B8se/str%C3%A5moseparken-30/
Teglværksparken 48,55.796462,12.261578,2995000,Rækkehus,3,1998,mellem,"4,73",186,3.921,84,35654,C,https://www.dingeo.dk/adresse/3660-stenl%C3%B8se/teglv%C3%A6rksparken-48/
Rosendalvej 2,55.77354,12.204635,2695000,Villa,4,1965,mellem,857,518,851,102,26421,D,https://www.dingeo.dk/adresse/3660-stenl%C3%B8se/rosendalvej-2/
Gravhøjvej 8,55.775017,12.204427,3695000,Villa,4,1963,mellem,969,456,968,136,27169,D,https://www.dingeo.dk/adresse/3660-stenl%C3%B8se/gravh%C3%B8jvej-8/
