Address,X,Y,Price,Type,Room count,Construction year,Risk of burglary,Distance to pharmacy,Distance to daycare,Distance to grocery store,Size,Squaremeter price,Energy class,Url
Store Valbyvej 276,55.726465,12.200265,88000000,Landejendom,12,1819,meget lav,"4,65",1810,3.459,504,174603,E,https://www.dingeo.dk/adresse/3670-veks%C3%B8%20sj%C3%A6lland/store%20valbyvej-276/
Veksø Bygade 6G,55.755059,12.240324,2745000,Rækkehus,4,1993,mellem,"3,24",304,482,97,28298,B,https://www.dingeo.dk/adresse/3670-veks%C3%B8%20sj%C3%A6lland/veks%C3%B8%20bygade-6g/
Kelsted 213,55.751647,12.24047,4595000,Villa,5,,mellem,"3,43",442,762,149,30838,N/A,https://www.dingeo.dk/adresse/3670-veks%C3%B8%20sj%C3%A6lland/kelsted-213/
Løjesøvej 15,55.744493,12.227857,16500000,Villa,4,,meget lav,"3,37",872,1.487,277,59566,N/A,https://www.dingeo.dk/adresse/3670-veks%C3%B8%20sj%C3%A6lland/l%C3%B8jes%C3%B8vej-15/
Pileholm 4,55.744245,12.217516,7195000,Landejendom,7,1890,meget lav,"3,02",1161,1.799,197,36522,B,https://www.dingeo.dk/adresse/3670-veks%C3%B8%20sj%C3%A6lland/pileholm-4/
Byrgesens Vænge 1,55.755119,12.236257,3795000,Villa,4,2007,mellem,"3,01",78,293,123,30853,B,https://www.dingeo.dk/adresse/3670-veks%C3%B8%20sj%C3%A6lland/byrgesens%20v%C3%A6nge-1/
Hyldevang 1,55.736429,12.204243,1295000,Fritidshus,4,1973,meget lav,"3,58",2371,3.003,64,20234,N/A,https://www.dingeo.dk/adresse/3670-veks%C3%B8%20sj%C3%A6lland/hyldevang-1/
Veksø Bygade 9,55.754337,12.2399,2700000,Villa,4,1880,mellem,"3,25",272,509,120,22500,D,https://www.dingeo.dk/adresse/3670-veks%C3%B8%20sj%C3%A6lland/veks%C3%B8%20bygade-9/
Birkevang 37,55.739292,12.203093,1395000,Fritidshus,2,1973,meget lav,"3,25",2199,2.812,79,17658,N/A,https://www.dingeo.dk/adresse/3670-veks%C3%B8%20sj%C3%A6lland/birkevang-37/
Kelsted 305,55.752106,12.241385,4195000,Villa,5,1983,mellem,"3,46",452,755,146,28732,C,https://www.dingeo.dk/adresse/3670-veks%C3%B8%20sj%C3%A6lland/kelsted-305/
Fugleøjevej 2,55.756682,12.23504,3495000,Villa,3,1919,mellem,"2,86",245,106,131,26679,D,https://www.dingeo.dk/adresse/3670-veks%C3%B8%20sj%C3%A6lland/fugle%C3%B8jevej-2/
Hovevej 63,55.742528,12.234827,20000000,Villa,16,1918,mellem,"3,82",1145,1.654,544,36764,E,https://www.dingeo.dk/adresse/3670-veks%C3%B8%20sj%C3%A6lland/hovevej-63/
Slettemosevej 5,55.737004,12.218871,2300000,Villa,4,1860,meget lav,"3,78",1820,2.462,112,20535,F,https://www.dingeo.dk/adresse/3670-veks%C3%B8%20sj%C3%A6lland/slettemosevej-5/
Bjørnebakken 1B,55.752468,12.239893,3495000,Villa,4,1972,mellem,"3,36",353,666,143,24440,D,https://www.dingeo.dk/adresse/3670-veks%C3%B8%20sj%C3%A6lland/bj%C3%B8rnebakken-1b/
Hyldevang 3,55.735942,12.204139,1995000,Fritidshus,3,1965,meget lav,"3,63",2415,3.049,83,24036,N/A,https://www.dingeo.dk/adresse/3670-veks%C3%B8%20sj%C3%A6lland/hyldevang-3/
Hesselholm 211,55.75707,12.230899,3995000,Rækkehus,6,1982,mellem,"2,60",415,165,140,28535,C,https://www.dingeo.dk/adresse/3670-veks%C3%B8%20sj%C3%A6lland/hesselholm-211/
Gl Hovevej 11,55.753046,12.239265,3695000,Villa,5,1929,mellem,"3,29",282,591,205,18024,D,https://www.dingeo.dk/adresse/3670-veks%C3%B8%20sj%C3%A6lland/gl%20hovevej-11/
Skovvangsvej 9,55.769892,12.231316,3498000,Villa,4,1967,lav,"2,33",1730,1.338,134,26104,A,https://www.dingeo.dk/adresse/3670-veks%C3%B8%20sj%C3%A6lland/skovvangsvej-9/
Holmevej 31,55.741775,12.175674,6995000,Villa,7,1904,meget lav,"3,18",1206,1.787,311,22491,A2010,https://www.dingeo.dk/adresse/3670-veks%C3%B8%20sj%C3%A6lland/holmevej-31/
