Address,X,Y,Price,Type,Room count,Construction year,Risk of burglary,Distance to pharmacy,Distance to daycare,Distance to grocery store,Size,Squaremeter price,Energy class,Url
Hørvænget 15,55.801542,12.15715,3695000,Villa,5,1970,mellem,873,200,718,150,24633,D,https://www.dingeo.dk/adresse/3650-%C3%B8lstykke/h%C3%B8rv%C3%A6nget-15/
"Fogeden 1, 1. th",55.780559,12.190158,2995000,Ejerlejlighed,3,2019,mellem,"1,41",686,249,93,32204,A2015,https://www.dingeo.dk/adresse/3650-%C3%B8lstykke/fogeden-1/1-th/
Gefionsvej 22,55.773003,12.178861,4695000,Villa,6,1989,mellem,"1,15",482,809,159,29528,D,https://www.dingeo.dk/adresse/3650-%C3%B8lstykke/gefionsvej-22/
Harmonivej 5,55.770125,12.112761,3195000,Villa,5,1968,lav,"2,23",838,838,195,16384,A2010,https://www.dingeo.dk/adresse/3650-%C3%B8lstykke/harmonivej-5/
Snerlevej 19,55.792613,12.139051,3995000,Villa,6,1971,høj,"1,16",259,1.261,183,21830,D,https://www.dingeo.dk/adresse/3650-%C3%B8lstykke/snerlevej-19/
Frederiksborgvej 49,55.798309,12.159451,3495000,Villa,6,1930,mellem,536,386,362,144,24270,C,https://www.dingeo.dk/adresse/3650-%C3%B8lstykke/frederiksborgvej-49/
Ørnebjergvej 79,55.794156,12.141905,3475000,Villa,5,1967,høj,969,465,1.054,153,22712,C,https://www.dingeo.dk/adresse/3650-%C3%B8lstykke/%C3%B8rnebjergvej-79/
Frodes Have 20,55.771582,12.169976,3095000,Rækkehus,3,2007,lav,"1,63",173,955,85,36411,B,https://www.dingeo.dk/adresse/3650-%C3%B8lstykke/frodes%20have-20/
Hagbardsvej 8,55.775451,12.181173,2595000,Villa,4,1977,mellem,"1,19",187,651,110,23590,E,https://www.dingeo.dk/adresse/3650-%C3%B8lstykke/hagbardsvej-8/
Stenbukken 2,55.786194,12.174715,2895000,Rækkehus,5,1970,mellem,"1,40",221,633,114,25394,B,https://www.dingeo.dk/adresse/3650-%C3%B8lstykke/stenbukken-2/
Stationsvej 53,55.792799,12.175439,7700000,Landejendom,4,1973,meget lav,"1,17",521,1.118,202,38118,A2010,https://www.dingeo.dk/adresse/3650-%C3%B8lstykke/stationsvej-53/
