Address,X,Y,Price,Type,Room count,Construction year,Risk of burglary,Distance to pharmacy,Distance to daycare,Distance to grocery store,Size,Squaremeter price,Energy class,Url
"Strandvejen 234D, st. ",55.759654,12.597913,7995000,Ejerlejlighed,2,2010,høj,"1,53",248,1.373,82,97500,B,https://www.dingeo.dk/adresse/2920-charlottenlund/strandvejen-234d/st-/
Mosehøjvej 23D,55.763467,12.565544,14995000,Villa,5,1991,høj,589,389,579,191,78507,D,https://www.dingeo.dk/adresse/2920-charlottenlund/moseh%C3%B8jvej-23d/
"Prinsesse Alexandrines Alle 16, 2. th",55.754434,12.563759,9495000,Ejerlejlighed,5,1904,mellem,382,332,228,143,66398,D,https://www.dingeo.dk/adresse/2920-charlottenlund/prinsesse%20alexandrines%20alle-16/2-th/
"Ordrupvej 41B, 2. 4",55.765095,12.582422,2795000,Ejerlejlighed,2,1961,lav,659,393,424,58,48189,D,https://www.dingeo.dk/adresse/2920-charlottenlund/ordrupvej-41b/2-4/
"Ordrupvej 47A, st. th",55.764752,12.581688,3595000,Ejerlejlighed,3,,lav,599,371,364,90,39944,C,https://www.dingeo.dk/adresse/2920-charlottenlund/ordrupvej-47a/st-th/
"Ejgårdsparken 4, 1. tv",55.756367,12.572046,6850000,Ejerlejlighed,3,,lav,247,377,260,98,69897,C,https://www.dingeo.dk/adresse/2920-charlottenlund/ejg%C3%A5rdsparken-4/1-tv/
Engbakkevej 12,55.766865,12.550146,9450000,Villa,6,,høj,"1,64",381,1.624,134,70522,N/A,https://www.dingeo.dk/adresse/2920-charlottenlund/engbakkevej-12/
Forårsvej 19,55.755669,12.561127,17000000,Villa,7,1936,mellem,562,175,387,203,83743,E,https://www.dingeo.dk/adresse/2920-charlottenlund/for%C3%A5rsvej-19/
Kirkevej 24B,55.761861,12.578381,11995000,Villa,5,1936,lav,272,179,135,146,82157,C,https://www.dingeo.dk/adresse/2920-charlottenlund/kirkevej-24b/
Christiansvej 29,55.751903,12.56468,14500000,Villa,6,1969,mellem,439,169,391,192,75520,C,https://www.dingeo.dk/adresse/2920-charlottenlund/christiansvej-29/
"Ordrupvej 89, 4. th",55.761356,12.574527,2700000,Ejerlejlighed,2,1958,lav,31,178,99,60,45000,E,https://www.dingeo.dk/adresse/2920-charlottenlund/ordrupvej-89/4-th/
Skovshovedvej 53,55.759568,12.586435,16495000,Villa,7,1946,høj,812,190,697,229,72030,E,https://www.dingeo.dk/adresse/2920-charlottenlund/skovshovedvej-53/
Strandvejen 178A,55.752562,12.592374,32000000,Villa,6,1942,mellem,"1,46",539,1.238,234,136752,F,https://www.dingeo.dk/adresse/2920-charlottenlund/strandvejen-178a/
Eivindsvej 49,55.746514,12.564983,16700000,Villa,10,1926,høj,945,321,871,263,63498,D,https://www.dingeo.dk/adresse/2920-charlottenlund/eivindsvej-49/
Høstvej 22,55.751016,12.559213,19800000,Villa,6,1928,mellem,779,255,680,211,93838,D,https://www.dingeo.dk/adresse/2920-charlottenlund/h%C3%B8stvej-22/
"Ordrupvej 10, st. th",55.767294,12.583806,2495000,Ejerlejlighed,2,,lav,887,627,656,66,37803,N/A,https://www.dingeo.dk/adresse/2920-charlottenlund/ordrupvej-10/st-th/
Bernstorfflund Alle 6B,55.761375,12.552135,8995000,Villa,3,,høj,"1,35",408,1.180,107,84065,N/A,https://www.dingeo.dk/adresse/2920-charlottenlund/bernstorfflund%20alle-6b/
Bernstorfflund Alle 88,55.768048,12.55353,10995000,Villa,4,,høj,"1,50",626,1.498,140,78535,N/A,https://www.dingeo.dk/adresse/2920-charlottenlund/bernstorfflund%20alle-88/
